,0
0,2
1,17
2,20
3,30
4,38
5,35
6,1
7,11
8,4
9,35
10,8
11,1
12,26
13,1
14,10
15,28
16,10
17,9
18,11
19,38
20,17
21,8
22,7
23,38
24,26
25,5
26,38
27,1
28,33
29,12
30,33
31,10
32,9
33,38
34,12
35,9
36,29
37,38
38,38
39,33
40,3
41,11
42,8
43,36
44,35
45,35
46,12
47,3
48,25
49,2
50,4
51,26
52,9
53,25
54,13
55,9
56,2
57,18
58,26
59,14
60,31
61,30
62,4
63,15
64,33
65,33
66,35
67,12
68,2
69,33
70,20
71,20
72,38
73,27
74,25
75,4
76,14
77,13
78,1
79,38
80,1
81,13
82,2
83,5
84,11
85,14
86,19
87,5
88,31
89,35
90,9
91,12
92,31
93,14
94,7
95,30
96,11
97,3
98,12
99,13
100,23
101,7
102,25
103,39
104,17
105,12
106,4
107,9
108,5
109,18
110,2
111,12
112,17
113,25
114,12
115,21
116,5
117,31
118,13
119,13
120,17
121,1
122,1
123,8
124,25
125,38
126,15
127,10
128,1
129,11
130,7
131,14
132,16
133,12
134,10
135,17
136,5
137,26
138,1
139,13
140,10
141,18
142,1
143,1
144,18
145,11
146,34
147,13
148,2
149,1
150,23
151,15
152,31
153,4
154,4
155,14
156,1
157,13
158,2
159,4
160,8
161,1
162,1
163,2
164,23
165,1
166,26
167,13
168,39
169,4
170,17
171,5
172,5
173,10
174,25
175,1
176,18
177,25
178,12
179,13
180,2
181,2
182,25
183,2
184,9
185,28
186,4
187,12
188,2
189,10
190,16
191,1
192,6
193,17
194,5
195,18
196,11
197,28
198,23
199,25
200,34
201,12
202,23
203,39
204,18
205,2
206,4
207,21
208,31
209,13
210,39
211,31
212,34
213,4
214,15
215,11
216,26
217,16
218,25
219,18
220,23
221,31
222,13
223,12
224,38
225,11
226,13
227,8
228,38
229,35
230,4
231,17
232,3
233,5
234,22
235,13
236,7
237,8
238,28
239,29
240,9
241,9
242,41
243,35
244,13
245,23
246,20
247,18
248,26
249,15
250,4
251,38
252,38
253,20
254,42
255,10
256,10
257,4
258,4
259,8
260,11
261,4
262,4
263,5
264,1
265,13
266,4
267,35
268,13
269,9
270,25
271,14
272,5
273,25
274,5
275,3
276,5
277,23
278,38
279,35
280,35
281,28
282,35
283,37
284,10
285,12
286,5
287,25
288,35
289,17
290,5
291,21
292,7
293,10
294,12
295,13
296,23
297,35
298,14
299,4
300,28
301,25
302,1
303,12
304,38
305,2
306,36
307,13
308,8
309,15
310,25
311,18
312,9
313,7
314,17
315,9
316,13
317,35
318,34
319,11
320,7
321,13
322,2
323,5
324,2
325,2
326,31
327,10
328,4
329,7
330,37
331,7
332,23
333,7
334,10
335,31
336,12
337,17
338,11
339,2
340,10
341,12
342,10
343,31
344,5
345,18
346,25
347,38
348,35
349,7
350,25
351,7
352,17
353,30
354,2
355,35
356,7
357,4
358,1
359,32
360,25
361,11
362,15
363,4
364,33
365,9
366,33
367,31
368,18
369,36
370,4
371,12
372,25
373,10
374,37
375,12
376,4
377,17
378,13
379,17
380,5
381,15
382,24
383,33
384,38
385,1
386,1
387,30
388,11
389,38
390,1
391,15
392,2
393,1
394,11
395,20
396,19
397,25
398,33
399,9
400,35
401,0
402,10
403,5
404,1
405,33
406,1
407,9
408,36
409,14
410,41
411,10
412,16
413,5
414,24
415,38
416,15
417,2
418,35
419,10
420,1
421,14
422,26
423,35
424,2
425,9
426,5
427,38
428,6
429,5
430,41
431,25
432,4
433,11
434,5
435,30
436,35
437,30
438,4
439,4
440,12
441,5
442,1
443,1
444,10
445,13
446,21
447,25
448,35
449,9
450,1
451,33
452,9
453,8
454,36
455,10
456,1
457,1
458,34
459,13
460,14
461,1
462,40
463,10
464,9
465,33
466,25
467,8
468,13
469,2
470,7
471,3
472,38
473,8
474,8
475,1
476,5
477,19
478,18
479,40
480,7
481,14
482,18
483,3
484,7
485,38
486,21
487,36
488,7
489,26
490,3
491,19
492,13
493,15
494,31
495,12
496,2
497,1
498,35
499,7
500,26
501,28
502,1
503,5
504,1
505,31
506,12
507,35
508,22
509,40
510,38
511,38
512,4
513,13
514,12
515,9
516,12
517,24
518,6
519,8
520,9
521,17
522,17
523,3
524,18
525,10
526,38
527,13
528,15
529,4
530,31
531,31
532,8
533,5
534,6
535,5
536,4
537,2
538,35
539,10
540,36
541,13
542,31
543,5
544,18
545,39
546,36
547,25
548,4
549,11
550,25
551,4
552,10
553,23
554,25
555,26
556,4
557,8
558,36
559,13
560,5
561,13
562,1
563,38
564,12
565,23
566,19
567,1
568,8
569,35
570,25
571,7
572,24
573,18
574,1
575,13
576,4
577,13
578,1
579,11
580,28
581,1
582,9
583,3
584,28
585,25
586,7
587,17
588,9
589,7
590,4
591,3
592,4
593,5
594,4
595,4
596,31
597,1
598,26
599,19
600,25
601,11
602,5
603,7
604,12
605,5
606,26
607,16
608,11
609,13
610,6
611,5
612,31
613,12
614,8
615,11
616,38
617,1
618,12
619,9
620,12
621,12
622,10
623,11
624,35
625,13
626,38
627,4
628,3
629,17
630,9
631,14
632,3
633,10
634,2
635,24
636,38
637,5
638,9
639,25
640,33
641,23
642,30
643,35
644,8
645,37
646,35
647,12
648,37
649,10
650,2
651,7
652,35
653,38
654,35
655,5
656,25
657,7
658,4
659,12
660,35
661,1
662,35
663,39
664,1
665,3
666,9
667,2
668,11
669,18
670,18
671,12
672,14
673,7
674,38
675,2
676,3
677,21
678,12
679,3
680,13
681,8
682,10
683,32
684,3
685,4
686,14
687,3
688,17
689,7
690,36
691,28
692,12
693,0
694,5
695,1
696,8
697,13
698,10
699,26
700,1
701,34
702,20
703,1
704,15
705,7
706,4
707,4
708,13
709,3
710,38
711,16
712,8
713,10
714,1
715,29
716,35
717,5
718,36
719,13
720,2
721,33
722,18
723,16
724,9
725,38
726,1
727,25
728,35
729,7
730,1
731,7
732,19
733,35
734,8
735,41
736,9
737,9
738,12
739,3
740,12
741,25
742,10
743,9
744,13
745,5
746,1
747,17
748,2
749,9
750,3
751,8
752,28
753,2
754,7
755,33
756,7
757,8
758,4
759,8
760,27
761,12
762,31
763,35
764,2
765,3
766,25
767,35
768,2
769,15
770,17
771,25
772,13
773,12
774,2
775,7
776,25
777,2
778,28
779,17
780,1
781,4
782,16
783,2
784,23
785,2
786,14
787,8
788,14
789,4
790,11
791,13
792,17
793,10
794,4
795,8
796,2
797,11
798,35
799,12
800,10
801,13
802,7
803,10
804,17
805,8
806,8
807,15
808,5
809,2
810,4
811,13
812,13
813,38
814,4
815,27
816,4
817,30
818,5
819,1
820,5
821,10
822,8
823,4
824,11
825,13
826,11
827,11
828,7
829,30
830,4
831,26
832,33
833,10
834,15
835,4
836,11
837,3
838,13
839,2
840,7
841,13
842,14
843,18
844,2
845,7
846,2
847,42
848,35
849,23
850,14
851,4
852,7
853,5
854,33
855,3
856,3
857,17
858,31
859,3
860,8
861,18
862,1
863,6
864,9
865,1
866,1
867,35
868,28
869,26
870,11
871,13
872,29
873,15
874,10
875,6
876,26
877,12
878,12
879,23
880,38
881,1
882,25
883,17
884,9
885,3
886,1
887,38
888,38
889,10
890,22
891,30
892,32
893,6
894,5
895,5
896,5
897,38
898,8
899,1
900,11
901,2
902,13
903,7
904,9
905,29
906,16
907,8
908,1
909,2
910,1
911,3
912,7
913,9
914,32
915,12
916,16
917,8
918,1
919,25
920,7
921,6
922,8
923,7
924,4
925,5
926,1
927,8
928,4
929,1
930,18
931,3
932,7
933,1
934,37
935,13
936,7
937,10
938,12
939,1
940,19
941,12
942,40
943,3
944,5
945,1
946,26
947,25
948,25
949,4
950,32
951,9
952,42
953,26
954,19
955,14
956,28
957,35
958,21
959,5
960,11
961,7
962,25
963,17
964,8
965,11
966,1
967,31
968,3
969,1
970,12
971,22
972,14
973,1
974,18
975,13
976,7
977,30
978,7
979,10
980,30
981,5
982,7
983,26
984,7
985,33
986,17
987,28
988,38
989,7
990,13
991,12
992,8
993,2
994,18
995,25
996,13
997,9
998,4
999,38
1000,38
1001,5
1002,14
1003,18
1004,8
1005,36
1006,21
1007,40
1008,13
1009,1
1010,9
1011,13
1012,5
1013,8
1014,38
1015,1
1016,31
1017,5
1018,2
1019,30
1020,38
1021,1
1022,7
1023,14
1024,13
1025,8
1026,26
1027,26
1028,2
1029,14
1030,1
1031,11
1032,13
1033,25
1034,8
1035,41
1036,2
1037,25
1038,16
1039,12
1040,26
1041,3
1042,1
1043,2
1044,25
1045,38
1046,7
1047,10
1048,25
1049,10
1050,12
1051,4
1052,34
1053,12
1054,16
1055,31
1056,5
1057,9
1058,3
1059,4
1060,10
1061,13
1062,8
1063,8
1064,2
1065,23
1066,12
1067,20
1068,5
1069,2
1070,16
1071,25
1072,8
1073,16
1074,4
1075,35
1076,7
1077,1
1078,0
1079,2
1080,3
1081,28
1082,15
1083,17
1084,8
1085,5
1086,9
1087,36
1088,6
1089,25
1090,2
1091,27
1092,22
1093,5
1094,12
1095,33
1096,5
1097,9
1098,3
1099,25
1100,35
1101,15
1102,17
1103,28
1104,9
1105,18
1106,38
1107,9
1108,4
1109,12
1110,12
1111,9
1112,12
1113,25
1114,4
1115,39
1116,42
1117,15
1118,12
1119,12
1120,40
1121,8
1122,35
1123,2
1124,13
1125,25
1126,38
1127,28
1128,16
1129,12
1130,8
1131,25
1132,34
1133,4
1134,23
1135,2
1136,10
1137,25
1138,8
1139,3
1140,11
1141,26
1142,35
1143,1
1144,1
1145,26
1146,25
1147,9
1148,9
1149,18
1150,38
1151,13
1152,3
1153,4
1154,4
1155,8
1156,7
1157,4
1158,29
1159,5
1160,13
1161,23
1162,38
1163,7
1164,4
1165,8
1166,21
1167,26
1168,10
1169,9
1170,19
1171,1
1172,20
1173,7
1174,30
1175,2
1176,13
1177,18
1178,6
1179,4
1180,18
1181,28
1182,9
1183,6
1184,13
1185,13
1186,5
1187,3
1188,11
1189,19
1190,9
1191,41
1192,30
1193,10
1194,10
1195,7
1196,13
1197,1
1198,13
1199,12
1200,1
1201,20
1202,11
1203,12
1204,5
1205,9
1206,12
1207,33
1208,2
1209,13
1210,8
1211,27
1212,39
1213,12
1214,7
1215,19
1216,14
1217,9
1218,28
1219,31
1220,38
1221,9
1222,35
1223,35
1224,10
1225,25
1226,29
1227,25
1228,29
1229,18
1230,31
1231,2
1232,1
1233,25
1234,7
1235,2
1236,8
1237,35
1238,28
1239,27
1240,2
1241,38
1242,0
1243,12
1244,7
1245,5
1246,6
1247,16
1248,12
1249,13
1250,13
1251,13
1252,2
1253,4
1254,18
1255,3
1256,2
1257,8
1258,4
1259,33
1260,18
1261,38
1262,14
1263,13
1264,28
1265,1
1266,31
1267,7
1268,1
1269,4
1270,12
1271,18
1272,26
1273,10
1274,12
1275,26
1276,14
1277,38
1278,3
1279,38
1280,13
1281,38
1282,15
1283,5
1284,28
1285,13
1286,18
1287,38
1288,31
1289,38
1290,5
1291,1
1292,4
1293,20
1294,1
1295,13
1296,2
1297,22
1298,13
1299,25
1300,40
1301,12
1302,1
1303,35
1304,2
1305,8
1306,3
1307,4
1308,38
1309,30
1310,16
1311,21
1312,29
1313,11
1314,7
1315,38
1316,3
1317,25
1318,4
1319,6
1320,10
1321,12
1322,12
1323,9
1324,36
1325,13
1326,7
1327,38
1328,9
1329,28
1330,17
1331,33
1332,2
1333,38
1334,7
1335,17
1336,17
1337,2
1338,10
1339,38
1340,11
1341,25
1342,4
1343,12
1344,31
1345,4
1346,38
1347,23
1348,8
1349,10
1350,15
1351,5
1352,36
1353,33
1354,20
1355,22
1356,5
1357,24
1358,37
1359,13
1360,6
1361,10
1362,7
1363,36
1364,25
1365,23
1366,9
1367,28
1368,5
1369,38
1370,5
1371,34
1372,32
1373,10
1374,12
1375,31
1376,38
1377,14
1378,17
1379,8
1380,4
1381,2
1382,23
1383,7
1384,2
1385,37
1386,5
1387,2
1388,12
1389,31
1390,12
1391,31
1392,14
1393,33
1394,14
1395,42
1396,12
1397,16
1398,17
1399,10
1400,3
1401,25
1402,4
1403,11
1404,5
1405,32
1406,17
1407,14
1408,25
1409,5
1410,5
1411,7
1412,18
1413,12
1414,33
1415,1
1416,35
1417,26
1418,4
1419,35
1420,1
1421,13
1422,38
1423,1
1424,16
1425,21
1426,13
1427,15
1428,35
1429,11
1430,3
1431,30
1432,16
1433,1
1434,35
1435,13
1436,38
1437,28
1438,3
1439,38
1440,12
1441,5
1442,16
1443,11
1444,4
1445,21
1446,23
1447,1
1448,12
1449,12
1450,3
1451,24
1452,9
1453,12
1454,4
1455,4
1456,10
1457,4
1458,3
1459,3
1460,36
1461,38
1462,36
1463,1
1464,1
1465,13
1466,33
1467,7
1468,16
1469,14
1470,24
1471,36
1472,24
1473,39
1474,42
1475,35
1476,8
1477,33
1478,38
1479,18
1480,2
1481,11
1482,38
1483,10
1484,31
1485,1
1486,2
1487,13
1488,12
1489,0
1490,29
1491,5
1492,40
1493,31
1494,9
1495,31
1496,28
1497,25
1498,18
1499,31
1500,7
1501,1
1502,34
1503,13
1504,25
1505,12
1506,10
1507,18
1508,2
1509,2
1510,4
1511,1
1512,2
1513,3
1514,17
1515,25
1516,10
1517,3
1518,13
1519,21
1520,12
1521,33
1522,1
1523,9
1524,39
1525,19
1526,23
1527,9
1528,4
1529,28
1530,12
1531,25
1532,5
1533,38
1534,22
1535,41
1536,4
1537,13
1538,29
1539,8
1540,26
1541,2
1542,12
1543,8
1544,35
1545,1
1546,2
1547,40
1548,5
1549,11
1550,39
1551,9
1552,4
1553,13
1554,13
1555,4
1556,1
1557,1
1558,5
1559,10
1560,38
1561,11
1562,18
1563,40
1564,38
1565,4
1566,8
1567,13
1568,13
1569,11
1570,38
1571,11
1572,11
1573,17
1574,38
1575,42
1576,38
1577,38
1578,3
1579,12
1580,11
1581,38
1582,15
1583,36
1584,25
1585,23
1586,38
1587,7
1588,11
1589,34
1590,13
1591,13
1592,35
1593,7
1594,19
1595,12
1596,34
1597,38
1598,15
1599,13
1600,4
1601,35
1602,38
1603,9
1604,16
1605,2
1606,17
