,0
0,25
1,11
2,35
3,17
4,12
5,9
6,1
7,2
8,1
9,13
10,17
11,10
12,5
13,1
14,10
15,36
16,7
17,5
18,9
19,31
20,38
21,4
22,10
23,9
24,4
25,1
26,2
27,17
28,4
29,13
30,18
31,31
32,25
33,8
34,23
35,40
36,27
37,18
38,1
39,38
40,11
41,3
42,3
43,35
44,5
45,35
46,33
47,1
48,18
49,25
50,12
51,17
52,3
53,10
54,9
55,13
56,9
57,12
58,36
59,2
60,1
61,35
62,31
63,1
64,4
65,10
66,7
67,4
68,8
69,2
70,8
71,8
72,13
73,2
74,14
75,12
76,10
77,40
78,14
79,25
80,13
81,12
82,11
83,13
84,1
85,12
86,20
87,13
88,40
89,30
90,23
91,15
92,30
93,31
94,36
95,7
96,1
97,5
98,17
99,13
100,3
101,1
102,12
103,18
104,35
105,19
106,23
107,12
108,12
109,9
110,12
111,38
112,33
113,26
114,2
115,25
116,13
117,20
118,14
119,12
120,2
121,12
122,11
123,3
124,2
125,1
126,12
127,5
128,19
129,3
130,3
131,4
132,2
133,32
134,27
135,5
136,26
137,35
138,13
139,31
140,2
141,14
142,25
143,2
144,13
145,38
146,26
147,36
148,14
149,2
150,5
151,28
152,8
153,0
154,8
155,3
156,21
157,10
158,12
159,16
160,30
161,2
162,17
163,38
164,3
165,16
166,13
167,1
168,38
169,9
170,33
171,8
172,5
173,25
174,8
175,38
176,13
177,12
178,5
179,3
180,9
181,2
182,1
183,5
184,4
185,15
186,2
187,18
188,25
189,8
190,18
191,7
192,8
193,40
194,24
195,15
196,28
197,4
198,4
199,28
200,1
201,17
202,4
203,15
204,9
205,10
206,41
207,13
208,1
209,5
210,14
211,4
212,4
213,13
214,38
215,17
216,36
217,31
218,13
219,11
220,4
221,38
222,27
223,3
224,19
225,38
226,23
227,3
228,5
229,35
230,15
231,4
232,5
233,31
234,38
235,8
236,25
237,13
238,31
239,38
240,35
241,10
242,10
243,26
244,5
245,15
246,3
247,13
248,31
249,38
250,9
251,17
252,4
253,2
254,26
255,15
256,1
257,3
258,2
259,13
260,17
261,25
262,14
263,30
264,1
265,1
266,5
267,25
268,35
269,26
270,27
271,12
272,22
273,25
274,14
275,35
276,26
277,29
278,14
279,35
280,1
281,6
282,28
283,1
284,9
285,1
286,4
287,29
288,4
289,28
290,12
291,11
292,10
293,42
294,2
295,4
296,10
297,25
298,17
299,18
300,39
301,31
302,5
303,21
304,34
305,31
306,6
307,3
308,5
309,17
310,7
311,28
312,18
313,38
314,39
315,4
316,13
317,16
318,33
319,33
320,8
321,14
322,29
323,8
324,18
325,38
326,38
327,10
328,38
329,25
330,4
331,28
332,11
333,38
334,7
335,2
336,35
337,5
338,4
339,33
340,4
341,36
342,17
343,7
344,29
345,2
346,13
347,19
348,42
349,12
350,12
351,35
352,4
353,4
354,12
355,21
356,12
357,17
358,4
359,3
360,33
361,33
362,18
363,40
364,4
365,2
366,25
367,19
368,2
369,25
370,14
371,18
372,12
373,38
374,16
375,20
376,38
377,13
378,2
379,38
380,2
381,38
382,2
383,1
384,12
385,1
386,11
387,3
388,8
389,10
390,9
391,38
392,12
393,14
394,11
395,12
396,13
397,7
398,26
399,26
400,42
401,28
402,13
403,38
404,35
405,7
406,13
407,38
408,30
409,5
410,31
411,28
412,2
413,15
414,7
415,7
416,7
417,11
418,31
419,7
420,5
421,1
422,23
423,7
424,11
425,10
426,13
427,40
428,38
429,4
430,13
431,7
432,14
433,3
434,18
435,10
436,2
437,11
438,12
439,42
440,12
441,5
442,13
443,4
444,3
445,5
446,7
447,35
448,8
449,3
450,38
451,35
452,23
453,13
454,25
455,11
456,7
457,17
458,13
459,1
460,2
461,41
462,19
463,9
464,7
465,25
466,3
467,13
468,9
469,14
470,4
471,8
472,22
473,11
474,25
475,14
476,16
477,26
478,42
479,2
480,5
481,14
482,13
483,5
484,2
485,1
486,3
487,14
488,13
489,38
490,11
491,7
492,1
493,7
494,2
495,9
496,20
497,19
498,2
499,18
500,1
501,11
502,27
503,1
504,9
505,15
506,0
507,10
508,13
509,9
510,4
511,10
512,22
513,11
514,13
515,33
516,3
517,35
518,29
519,41
520,2
521,14
522,30
523,10
524,42
525,32
526,30
527,40
528,5
529,12
530,1
531,17
532,1
533,3
534,33
535,29
536,13
537,28
538,35
539,35
540,38
541,10
542,34
543,12
544,3
545,6
546,35
547,7
548,12
549,23
550,26
551,25
552,2
553,32
554,25
555,4
556,18
557,11
558,11
559,5
560,5
561,10
562,10
563,25
564,18
565,36
566,12
567,35
568,42
569,10
570,2
571,17
572,40
573,10
574,7
575,5
576,11
577,36
578,26
579,13
580,14
581,10
582,24
583,2
584,5
585,1
586,15
587,4
588,10
589,34
590,33
591,10
592,21
593,7
594,4
595,9
596,25
597,32
598,9
599,35
600,30
601,1
602,42
603,10
604,36
605,4
606,1
607,26
608,9
609,17
610,7
611,38
612,5
613,38
614,26
615,38
616,35
617,10
618,40
619,13
620,29
621,9
622,1
623,13
624,27
625,3
626,2
627,7
628,5
629,38
630,15
631,1
632,11
633,8
634,6
635,16
636,11
637,12
638,28
639,10
640,39
641,10
642,34
643,38
644,10
645,2
646,11
647,10
648,38
649,36
650,8
651,42
652,22
653,17
654,8
655,25
656,10
657,23
658,10
659,24
660,2
661,8
662,1
663,31
664,10
665,31
666,28
667,18
668,5
669,1
670,0
671,30
672,3
673,39
674,6
675,7
676,18
677,11
678,1
679,1
680,12
681,3
682,17
683,4
684,6
685,11
686,3
687,8
688,23
689,31
690,13
691,10
692,35
693,1
694,4
695,30
696,26
697,34
698,4
699,33
700,25
701,33
702,40
703,36
704,2
705,17
706,30
707,10
708,21
709,35
710,38
711,5
712,23
713,2
714,38
715,4
716,18
717,2
718,0
719,2
720,12
721,18
722,25
723,5
724,3
725,26
726,2
727,1
728,19
729,18
730,5
731,18
732,13
733,11
734,38
735,15
736,2
737,28
738,5
739,31
740,8
741,17
742,2
743,14
744,12
745,10
746,32
747,9
748,11
749,1
750,4
751,11
752,11
753,9
754,40
755,36
756,13
757,9
758,37
759,13
760,6
761,7
762,24
763,10
764,1
765,3
766,30
767,10
768,18
769,1
770,28
771,8
772,18
773,25
774,3
775,20
776,38
777,42
778,13
779,42
780,38
781,3
782,25
783,9
784,32
785,20
786,34
787,32
788,15
789,8
790,8
791,38
792,28
793,3
794,10
795,12
796,23
797,26
798,10
799,7
800,8
801,21
802,23
803,2
804,4
805,18
806,38
807,33
808,25
809,8
810,12
811,1
812,4
813,6
814,38
815,2
816,36
817,25
818,10
819,1
820,28
821,24
822,0
823,5
824,17
825,21
826,18
827,18
828,38
829,2
830,18
831,1
832,29
833,10
834,15
835,5
836,13
837,7
838,4
839,11
840,5
841,25
842,5
843,1
844,19
845,9
846,4
847,8
848,12
849,13
850,26
851,13
852,11
853,35
854,9
855,1
856,7
857,17
858,33
859,18
860,15
861,10
862,4
863,26
864,12
865,7
866,17
867,38
868,10
869,38
870,35
871,5
872,20
873,38
874,33
875,38
876,33
877,14
878,25
879,1
880,14
881,41
882,2
883,17
884,7
885,13
886,31
887,18
888,8
889,42
890,38
